1;LEITUNGSSTRANG
2;V1;12E_970_000_K;L0L;3727 (g);~;CU: 1496 (g);Al: 0 (g)
0;Ltg-Nr.;Verbindung;von;Kurzname;Pin;xy;Kontakt;Dichtung;nach;Kurzname;Pin;xy;Kontakt;Dichtung;Leitung;Sonderltg.;Innenleiter;Länge;Farbe;Quer.;Pot.;V1;Ltg-Nr.
3;1;V.15..ZAS_E1_XE.E595.2_1_1;XE.E595.2;LSS_E;1;1-41E;N_105_118_01;-;A2;SP_15_13;1;1-40F;-;-;N_037_049_9;-;-;150;SW;2,5;V.15..ZAS_E1;x;1
3;2;V.30A..SA_J6_XE.E595.2_2_1;XE.E595.2;LSS_E;2;1-41E;N_105_118_01;-;XJ.SA.4;HSB;6;1-19G;N_907_327_02;357_972_742_B;N_037_043_1;-;-;1347;RT/GE;2,5;V.30A..SA_J6;x;2
3;3;S.50_ZAS.._XE.E595.2_3_1;XE.E595.2;LSS_E;3;1-41E;N_105_118_01;-;B3;SP_50;1;1-33G;-;-;N_037_043_9;-;-;732;RT/SW;2,5;S.50_ZAS..;x;3
3;4;V.30A..SD_F09_XA.SD.1_9A_1;XA.SD.1;SITR_3;9A;1-37E;N_907_326_01;-;XB.J519.3;BCM_B;68;1-32G;N_105_117_01;-;N_037_013_1;-;-;620;RT/GE;0,75;V.30A..SD_F09;x;4
3;5;S.S-Kontakt.._XE.E595.2_5_1;XE.E595.2;LSS_E;5;1-41E;N_105_111_01;-;XA.J519.3;BCM_A;42;1-29F;N_907_647_01;-;N_037_099_8;-;-;734;SW/BR;0,35;S.S-Kontakt..;x;5
3;6;V.30A..SA_D1_P3_1_3;P3;SP_30_04;1;1-31H;-;-;XA.SC.1;SITR;23B;1-30H;N_906_845_01;-;N_037_033_9;-;-;134;RT/SW;1,5;V.30A..SA_D1;x;6
3;7;V.30A..SA_D1_XA.SD.1_12_1;XA.SD.1;SITR_3;12;1-37E;-;-;B150;SP_30_12;1;1-35G;-;-;ZSB_ZSB_SITR_3;-;-;440;RT;6;V.30A..SA_D1;x;7
3;8;V.30A..SA_D1_P1_1_4;P1;SP_30_02;1;1-31H;-;-;XA.SC.1;SITR;7B;1-30H;N_906_845_01;-;N_037_033_3;-;-;178;RT;1,5;V.30A..SA_D1;x;8
3;9;S.53b.._XA.J519.3_71_1;XA.J519.3;BCM_A;71;1-29F;N_105_115_01;-;XA.J400.1;FWM;1;1-23H;N_105_115_03;357_972_741_B;N_037_046_1;-;-;793;GN/GE;2,5;S.53b..;x;9
3;10;S.53a.._XB.J519.3_32_1;XB.J519.3;BCM_B;32;1-32G;N_907_649_01;-;XA.J400.1;FWM;3;1-23H;N_105_114_03;357_972_741;N_037_006_9;-;-;851;GN/SW;0,5;S.53a..;x;10
3;11;V.30A..SC_F48_XA.SC.1_48A_1;XA.SC.1;SITR;48A;1-30H;N_907_327_01;-;XA.J519.3;BCM_A;73;1-29F;N_105_118_01;-;N_037_043_1;-;-;435;RT/GE;2,5;V.30A..SC_F48;x;11
3;12;S.LSS_BL_L.._XA.E595.2_13_1;XA.E595.2;LSS_A;13;1-42F;N_907_647_01;-;XA.J519.3;BCM_A;33;1-29F;N_907_647_01;-;N_037_099_0;-;-;821;SW/WS;0,35;S.LSS_BL_L..;x;12
3;13;S.LSS_BL_R.._XA.E595.2_14_1;XA.E595.2;LSS_A;14;1-42F;N_907_647_01;-;XA.J519.3;BCM_A;32;1-29F;N_907_647_01;-;N_037_099_6;-;-;821;SW/GN;0,35;S.LSS_BL_R..;x;13
3;14;M.31..MB_K-M7_C1_XA.E595.2_16_1;XA.E595.2;LSS_A;16;1-42F;N_907_647_01;-;234;SP_31C7_3;1;1-35E;-;-;N_037_098_8;-;-;794;BR;0,35;M.31..MB_K-M7_C1;x;14
3;15;V.30A..SA_J3_XE.E595.2_7_1;XE.E595.2;LSS_E;7;1-41E;N_105_112_01;-;XJ.SA.4;HSB;3;1-19G;N_907_326_02;357_972_742;N_037_003_4;-;-;1347;RT/VI;0,5;V.30A..SA_J3;x;15
3;16;V.15..ZAS_E1_A192_1_3;A192;SP_15_07;1;1-39F;-;-;XA.SC.1;SITR;8B;1-30H;N_906_845_01;-;N_037_049_9;-;-;664;SW;2,5;V.15..ZAS_E1;x;16
3;17;V.30A..SA_D1_P4_1_2;P4;SP_30_01;1;1-31H;-;-;XA.SC.1;SITR;18B;1-30H;N_906_845_01;-;N_037_043_3;-;-;155;RT;2,5;V.30A..SA_D1;x;17
