1;LEITUNGSSTRANG;;;;;;;;;;;;;;;;;;;;;;;;;;
2;V1;12E_970_000_K;L0L;3775 (g);~;CU: 1495 (g);Al: 0 (g);;;;;;;;;;;;;;;;;;;;
0;Ltg-Nr.;Verbindung;von;Kurzname;Pin;xy;Kontakt;Dichtung;nach;Kurzname;Pin;xy;Kontakt;Dichtung;Leitung;Sonderltg.;Innenleiter;Länge;Farbe;Quer.;Pot.;V1;Ltg-Nr.;;;;
3;1;V.15..ZAS_E1_A2_1_1;A2;SP_15_13;1;1-39F;-;-;XE.E595.3;LSS_E;1;1-40F;N_105_118_01;-;N_037_049_9;-;-;150;SW;2,5;V.15..ZAS_E1;x;1;;;;
3;2;V.30A..SA_J6_XE.E595.3_2_1;XE.E595.3;LSS_E;2;1-40F;N_105_118_01;-;XJ.SA.4;HSB;6;1-20G;N_907_327_02;357_972_742_B;N_037_043_1;-;-;1345;RT/GE;2,5;V.30A..SA_J6;x;2;;;;
3;3;V.50.._B3_1_2;B3;SP_50;1;1-33G;-;-;XE.E595.3;LSS_E;3;1-40F;N_105_118_01;-;N_037_043_9;-;-;733;RT/SW;2,5;V.50..;x;3;;;;
3;4;V.30A..SD_F09_XB.J519.3_68_1;XB.J519.3;BCM_B;68;1-33G;N_105_117_01;-;XA.SD.1;SITR_3;9A;1-37E;N_907_326_01;-;N_037_013_1;-;-;620;RT/GE;0,75;V.30A..SD_F09;x;4;;;;
3;5;S.S-Kontakt.._XE.E595.3_5_1;XE.E595.3;LSS_E;5;1-40F;N_105_111_01;-;XA.J519.3;BCM_A;42;1-33G;N_907_647_01;-;N_037_099_8;-;-;734;SW/BR;0,35;S.S-Kontakt..;x;5;;;;
3;6;V.30A..SA_D1_P3_1_2;P3;SP_30_04;1;1-32H;-;-;XA.SC.1;SITR;23B;1-31H;N_906_845_01;-;N_037_033_9;-;-;134;RT/SW;1,5;V.30A..SA_D1;x;6;;;;
3;7;V.30A..SA_D1_B150_1_1;B150;SP_30_12;1;1-35G;-;-;XA.SD.1;SITR_3;12;1-37E;-;-;ZSB_ZSB_SITR_3;-;-;440;RT;6;V.30A..SA_D1;x;7;;;;
3;8;V.30A..SA_D1_P1_1_4;P1;SP_30_02;1;1-33H;-;-;XA.SC.1;SITR;7B;1-31H;N_906_845_01;-;N_037_033_3;-;-;178;RT;1,5;V.30A..SA_D1;x;8;;;;
3;9;S.53b..SYS055.1_XA.J519.3_71_1;XA.J519.3;BCM_A;71;1-33G;N_105_115_01;-;XA.J400.1;FWM;1;1-23H;N_105_115_03;357_972_741_B;N_037_046_1;-;-;791;GN/GE;2,5;S.53b..SYS055.1;x;9;;;;
3;10;S.53a..SYS055_XB.J519.3_32_1;XB.J519.3;BCM_B;32;1-33G;N_907_649_01;-;XA.J400.1;FWM;3;1-23H;N_105_114_03;357_972_741;N_037_006_9;-;-;848;GN/SW;0,5;S.53a..SYS055;x;10;;;;
3;11;V.30A..SC_F48_XA.J519.3_73_1;XA.J519.3;BCM_A;73;1-33G;N_105_118_01;-;XA.SC.1;SITR;48A;1-31H;N_907_327_01;-;N_037_043_1;-;-;435;RT/GE;2,5;V.30A..SC_F48;x;11;;;;
3;12;V.L..LSS_SYS055_XA.E595.3_13_1;XA.E595.3;LSS_A;13;1-41F;N_907_647_01;-;XA.J519.3;BCM_A;33;1-33G;N_907_647_01;-;N_037_099_0;-;-;824;SW/WS;0,35;V.L..LSS_SYS055;x;12;;;;
3;13;V.R..LSS_SYS055_XA.E595.3_14_1;XA.E595.3;LSS_A;14;1-41F;N_907_647_01;-;XA.J519.3;BCM_A;32;1-33G;N_907_647_01;-;N_037_099_6;-;-;824;SW/GN;0,35;V.R..LSS_SYS055;x;13;;;;
3;14;M.31..MB_K-M7_C1_234_1_1;234;SP_31C7_3;1;1-35E;-;-;XA.E595.3;LSS_A;16;1-41F;N_907_647_01;-;N_037_098_8;-;-;797;BR;0,35;M.31..MB_K-M7_C1;x;14;;;;
3;15;V.30A..SA_J3_XE.E595.3_7_1;XE.E595.3;LSS_E;7;1-40F;N_105_112_01;-;XJ.SA.4;HSB;3;1-20G;N_907_326_02;357_972_742;N_037_003_4;-;-;1345;RT/VI;0,5;V.30A..SA_J3;x;15;;;;
3;16;V.15..ZAS_E1_A192_1_2;A192;SP_15_07;1;1-39F;-;-;XA.SC.1;SITR;8B;1-31H;N_906_845_01;-;N_037_049_9;-;-;664;SW;2,5;V.15..ZAS_E1;x;16;;;;
3;17;V.30A..SA_D1_P4_1_5;P4;SP_30_01;1;1-32H;-;-;XA.SC.1;SITR;18B;1-31H;N_906_845_01;-;N_037_043_3;-;-;155;RT;2,5;V.30A..SA_D1;x;17;;;;
3;18;V.30A..SC_F29_XB.J519.3_39_1;XB.J519.3;BCM_B;39;1-33G;N_105_111_01;-;XA.SC.1;SITR;29A;1-31H;N_906_843_01;-;N_037_093_0;-;-;492;RT/WS;0,35;V.30A..SC_F29;x;18;;;;
3;19;M.31..MB_K-M7_A1_191_1_1;191;SP_31A7_2;1;1-35E;-;-;XB.J519.3;BCM_B;38;1-33G;N_105_115_01;-;N_037_038_8;-;-;475;BR;1,5;M.31..MB_K-M7_A1;x;19;;;;
3;20;V.30A..SC_F49_XA.J519.3_68_1;XA.J519.3;BCM_A;68;1-33G;N_105_118_01;-;XA.SC.1;SITR;49A;1-31H;N_907_327_01;-;N_037_043_1;-;-;435;RT/GE;2,5;V.30A..SC_F49;x;20;;;;
3;21;V.30A..SC_F46_XB.J519.3_67_1;XB.J519.3;BCM_B;67;1-33G;N_105_118_01;-;XA.SC.1;SITR;46A;1-31H;N_907_327_01;-;N_037_043_1;-;-;492;RT/GE;2,5;V.30A..SC_F46;x;21;;;;
3;22;M.31..MB_K-M7_C1_XA.J519.3_14_1;XA.J519.3;BCM_A;14;1-33G;N_105_115_01;-;96;SP_31C7_1;1;1-36J;-;-;N_037_048_8;-;-;472;BR;2,5;M.31..MB_K-M7_C1;x;22;;;;
3;23;M.31..MB_K-M9_A1_B159_1_2;B159;SP_31BA2;1;1-35D;-;-;XA.U31.1;DIAG;4;1-31H;N_907_479_01;-;N_037_098_8;-;-;750;BR;0,35;M.31..MB_K-M9_A1;x;23;;;;
3;24;M.31..MB_K-M9_A1_B159_1_1;B159;SP_31BA2;1;1-35D;-;-;XA.U31.1;DIAG;5;1-31H;N_907_479_01;-;N_037_098_8;-;-;750;BR;0,35;M.31..MB_K-M9_A1;x;24;;;;
3;25;M.31..MB_K-M7_E1_XE.44.1_1_1;XE.44.1;MB_7_5;1;1-39H;N_017_516_5;-;L78;SP_31_LIN_K;1;1-38G;-;-;N_037_048_8;-;-;1107;BR;2,5;M.31..MB_K-M7_E1;x;25;;;;
3;26;M.31..MB_K-M7_B1_XB.44.1_1_1;XB.44.1;MB_7_2;1;1-40H;N_017_506_3;-;XB.J519.3;BCM_B;60;1-33G;N_907_649_01;-;N_037_008_8;-;-;999;BR;0,5;M.31..MB_K-M7_B1;x;26;;;;
